index,Finnish,frequency,English
15201,arpia,626,scars
15202,ajella,626,drive
15203,tyttärestäni,626,my daughter
15204,pelataanko,626,let's play
15205,harmeja,626,harm
15206,nuolen,626,arrow
15207,kiittämätön,626,ungrateful
15208,pelkäätte,626,afraid of
15209,punapää,626,redhead
15210,vaarannat,626,compromise
15211,nappiin,626,nap
15212,kiinnostavia,626,interesting
15213,luuri,625,phone
15214,hommani,625,homman
15215,vuorelle,625,mountain
15216,vaakalaudalla,625,at stake
15217,söisi,625,would eat
15218,jackille,625,to Jack
15219,löytäväni,625,found
15220,pärjäsi,625,head out
15221,neidin,625,neide
15222,kuuntelehan,625,listening to
15223,pantu,625,pan
15224,hermostuneelta,625,nervous
15225,jäännökset,625,carcass
15226,surkean,625,miserable
15227,seanin,625,Sean
15228,löydetä,624,find
15229,kellari,624,cellar
15230,todisteena,624,proof
15231,saarnaa,624,preach
15232,hassan,624,Hassan
15233,jättiläinen,624,giant
15234,everstiluutnantti,624,lieutenant colonel
15235,toiveeni,624,wish
15236,floyd,624,floyd
15237,jeffin,624,Jeff
15238,tunnethan,624,you know
15239,ötököitä,624,bugs
15240,rangaistusta,624,penalty
15241,huonosta,624,bad
15242,seymour,624,Seymour
15243,tuona,624,that
15244,virasto,624,office
15245,agenttini,624,agent
15246,joutuisit,623,would
15247,istutte,623,sitting
15248,yhteistyö,623,cooperation
15249,kiitospäivän,623,Thanksgiving
15250,työntekijöiden,623,employees
15251,andromeda,623,Andromeda
15252,huomionsa,623,one's attention
15253,siitäs,623,on
15254,firmaa,623,firm
15255,tunteistani,623,my feelings
15256,kolmonen,623,three
15257,lukemat,623,readings
15258,halpoja,623,cheap
15259,colen,623,cole
15260,kasinon,623,casino
15261,parantamaan,623,improve
15262,pyörätuolissa,623,in a wheelchair
15263,keksineet,623,come up with
15264,luovutti,623,donated
15265,kysymässä,623,asking
15266,ranskalaista,623,French
15267,säteily,623,radiation
15268,ihmisiksi,623,as people
15269,helikopterin,623,helicopter
15270,suojelin,623,protective
15271,verensä,623,blood
15272,lähtisit,623,you would go
15273,johtolangan,623,wire
15274,seiniä,623,walls
15275,sanoista,623,about words
15276,vaunu,622,carriage
15277,kuudesta,622,six
15278,treffejä,622,Dating
15279,silmieni,622,my eyes
15280,etsinnät,622,search
15281,rannikolle,622,to the coast
15282,lacey,622,lacey
15283,kirjaston,622,library
15284,britti,622,Briton
15285,pankit,621,banks
15286,projektia,621,project
15287,tili,621,account
15288,tilaisuutemme,621,our chance
15289,kasvi,621,plant
15290,syötän,621,I will feed
15291,vitsailen,621,joking
15292,morsianta,621,bride
15293,puoleni,621,side
15294,huomisiltana,621,tomorrow
15295,palveli,621,served
15296,taidot,621,acquirements
15297,erääseen,621,for one
15298,huomaavainen,621,thoughtful
15299,toimineet,621,acted
15300,humalaan,621,drunk
15301,siinäs,621,smooth
15302,klassista,621,classic
15303,pohtia,621,discuss
15304,useampia,621,several
15305,piirin,621,district
15306,elättää,621,maintain
15307,kroppa,621,body
15308,salaiseen,620,secretly
15309,valitsemme,620,We choose
15310,iloiselta,620,joyful
15311,myynnissä,620,on sale
15312,pitsaa,620,lace
15313,kyseenalaista,620,questionable
15314,silmälasit,620,eyeglasses
15315,hop,620,hop
15316,peilistä,620,mirror
15317,cleo,620,Cleo
15318,vuoret,620,mountains
15319,avioeroa,620,divorce
15320,osakas,620,shareholder
15321,liittää,620,attach
15322,vernon,620,Vernon
15323,jääkaappi,620,fridge
15324,renkaan,620,tire
15325,mainitsiko,620,mention
15326,beau,620,beau
15327,barryn,620,barry
15328,toimitti,620,provided
15329,tyytymätön,620,dissatisfied
15330,rehellistä,620,honesty
15331,avulias,620,helpful
15332,ajateltu,620,thoughtful
15333,pyysikö,620,if
15334,liittoutuneiden,620,allied
15335,öljyn,620,oil
15336,sitkeä,619,hardy
15337,mielipiteitä,619,opinion
15338,vapaapäivä,619,holiday
15339,kuollessaan,619,at death
15340,törmännyt,619,bumped
15341,hautajaisia,619,funeral
15342,tarkkaillut,619,observed
15343,keltaista,619,yellow
15344,pelottavan,619,scary
15345,vanno,619,swear
15346,fi,619,fi
15347,lapsenlapseni,619,grandchildren
15348,näyttäisin,619,look
15349,avioliittomme,619,marriage
15350,vois,619,vice
15351,tusinan,618,dozen
15352,sisaret,618,sisters
15353,tsekkaa,618,check out
15354,todisteen,618,proof
15355,ilmavoimien,618,air force
15356,naaras,618,female
15357,chan,618,Chan
15358,kassakaapin,618,safes
15359,colt,618,colt
15360,oiemme,618,l
15361,heräävät,618,wake up
15362,käsiään,618,their hands
15363,penniäkään,618,penny
15364,pukeutumaan,618,dresses
15365,sisaruksia,618,siblings
15366,tulella,618,on fire
15367,laivasta,618,ship
15368,vampyyrien,618,vampires
15369,labran,618,lab
15370,daven,618,Daven
15371,nukumme,618,let's sleep
15372,kunnioitamme,618,We respect
15373,piilotella,617,hunker
15374,harmiton,617,harmless
15375,toimittajan,617,supplier
15376,tekemäsi,617,done
15377,niskaani,617,nose
15378,tilat,617,premises
15379,varmisti,617,secured
15380,työkseen,617,for a living
15381,rakensimme,617,We built
15382,taistelimme,617,We fought
15383,juominen,617,drinking
15384,tapetuksi,617,killed
15385,siirtyvät,617,move
15386,kunniasta,617,from honor
15387,ulkomaalainen,617,alien
15388,ongelmanne,617,your problem
15389,pukuni,617,in my dress
15390,burton,617,burton
15391,kolarissa,617,in a knife
15392,huomenillalla,617,tomorrow evening
15393,eilistä,617,from yesterday
15394,kuuloonkaan,617,hearing
15395,helvetinmoinen,617,hell
15396,puretaan,617,unload
15397,pihviä,617,steak
15398,hupia,617,hut
15399,kisaan,617,to the race
15400,tajuissaan,617,conscious
15401,kaivoksen,617,mine
15402,kytän,617,can
15403,ainutlaatuista,616,unique
15404,mökille,616,to the cottage
15405,hermot,616,nerve
15406,ideansa,616,to their ideas
15407,suositteli,616,recommended
15408,pelkosi,616,fears
15409,kotonanne,616,in your home
15410,kannelle,616,deck
15411,lisäys,616,increase
15412,saddam,616,Saddam
15413,mokata,616,mock
15414,onnesi,616,your happiness
15415,raiskauksesta,615,rape
15416,systeemi,615,system
15417,parilla,615,pair
15418,hakattu,615,hacked
15419,tarkoittavan,615,mean
15420,päänsärky,615,headache
15421,lukot,615,locks
15422,leikkasin,615,I cut off
15423,tota,615,alloy
15424,kihloihin,615,engaged
15425,satama,615,port
15426,tate,615,tate
15427,flint,615,flint
15428,palveluksesta,615,about
15429,todelliset,615,real
15430,suunnitelleet,615,planned
15431,luulemaan,615,to think
15432,maailmalla,615,in the world
15433,ruokasi,615,your food
15434,katseen,615,gaze
15435,viihtyy,615,thrives in
15436,mistähän,615,for that
15437,ravintoa,615,nutrition
15438,kokeilemaan,614,to try
15439,nenästä,614,nose
15440,josé,614,José
15441,myynnistä,614,For sale
15442,siististi,614,cleanly
15443,teho,614,power
15444,tunteistasi,614,your feelings
15445,yrittämistä,614,attempt
15446,virusta,614,virus
15447,cass,614,Cass
15448,nopeudella,614,at speed
15449,otahan,614,okey
15450,pysähdyimme,614,We stopped
15451,sitoo,614,bind
15452,jimi,614,jim
15453,kimpassa,614,together
15454,persettäni,614,my ass
15455,hulluiksi,614,crazy
15456,tuhlannut,614,wasted
15457,haluavani,614,want
15458,kulmaan,614,to the corner
15459,äidilläsi,614,with your mother
15460,heikkous,614,weakness
15461,ruosteessa,613,rusty
15462,peruukki,613,a wig
15463,asetu,613,set
15464,ivy,613,CIS
15465,kunnioittamaan,613,to respect
15466,kreikkalainen,613,Greek
15467,syntyneet,613,born
15468,tiedostoja,613,files
15469,tekstityksiä,613,subtitles
15470,korostaa,613,highlight
15471,tapaili,613,killed
15472,allas,613,tub
15473,unohdamme,613,we forget
15474,jackia,613,jack
15475,oikeutettu,613,deserved
15476,alibin,613,Alibin
15477,tunnettiin,613,was known
15478,suunnittelevat,613,plan
15479,syöttinä,613,feed
15480,varjot,613,shadows
15481,mukananne,613,with you
15482,kisaa,613,race
15483,tavoilla,613,in ways
15484,valehtelu,613,lying
15485,pomolle,613,to the boss
15486,kylmässä,613,in the cold
15487,muillakin,613,in other
15488,tehokasta,612,efficient
15489,fitz,612,Fitz
15490,kyselevät,612,query
15491,aloillanne,612,on your own
15492,pitempään,612,longer
15493,ryhmäni,612,my group
15494,brisco,612,Brisco
15495,merkityksetöntä,612,insignificant
15496,tarpeekseen,612,enough
15497,justine,612,justine
15498,syyllisyyden,612,guilt
15499,papa,612,papa
15500,jeremiah,612,Jeremiah
15501,alibia,612,alibia
15502,etua,612,advantage of
15503,lentoa,612,flight
15504,reagoivat,612,react
15505,käänne,612,turn
15506,poiketa,612,diverge
15507,hitti,612,hit
15508,häiritseekö,612,do you bother
15509,mietitte,611,wondering
15510,länsi,611,west
15511,tahallani,611,talacase
15512,yhteisiä,611,common
15513,onnellisesti,611,happily
15514,tahtonsa,611,will
15515,verkon,611,network
15516,jensen,611,Jensen
15517,kasvojani,611,face
15518,kasvaneet,611,grown up
15519,näköisiä,611,looking
15520,walterin,611,walter
15521,herman,611,Herman
15522,syntyvät,611,arise
15523,typerästi,611,fondly
15524,naurua,611,laughter
15525,armon,611,grace
15526,rutto,611,the plague
15527,nauru,611,laughter
15528,piiri,611,circuit
15529,takianne,611,your jacket
15530,marshallin,611,Marshall
15531,gardner,611,gardner
15532,veljestäsi,611,from your brother
15533,yrittämään,611,attempt
15534,hups,611,Oops
15535,laidalla,611,on the edge of
15536,moskovassa,610,in Moscow
15537,nolaa,610,nose
15538,maila,610,club
15539,boston,610,Boston
15540,lupaani,610,my permission
15541,kalkkuna,610,turkey
15542,verenvuotoa,610,bleeding
15543,kaasun,610,gas
15544,sopimukset,610,contracts
15545,vastakohta,610,opposite
15546,tuulta,610,breeze
15547,sanonpa,610,say
15548,salaisesta,610,secret
15549,katkeaa,610,cut off
15550,asuneet,610,live
15551,kysyttiin,610,was asked
15552,pahemmalta,610,worse
15553,ampumisen,610,shooting
15554,ainuttakaan,610,unusual
15555,tolaltani,610,tollen
15556,janoinen,609,thirsty
15557,olemista,609,be
15558,apulaisjohtaja,609,Deputy Director
15559,jäätyy,609,freezes
15560,armoton,609,ruthless
15561,autetaan,609,help
15562,viidellä,609,by five
15563,televisioon,609,to the television
15564,väkemme,609,we are with
15565,18-vuotias,609,18 years old
15566,ansaitsemme,609,we deserve
15567,oswald,609,Oswald
15568,tohjoksi,609,athletic
15569,tappavaa,609,deadly
15570,mekaanikko,609,mechanic
15571,tavaroiden,609,goods
15572,larryn,609,Larry
15573,kertoakseni,609,to tell
15574,rakastajatar,609,mistress
15575,rasittava,609,annoying
15576,kullanmuru,609,sweetie
15577,hip,609,hip
15578,at,609,at
15579,hautausmaalle,609,to the cemetery
15580,harhoja,609,harbored
15581,kasvojasi,608,your face
15582,barbie,608,Barbie
15583,melkoista,608,pretty
15584,thor,608,thor
15585,kävely,608,walking
15586,kuulostanut,608,sounded up
15587,hali,608,hall
15588,viimeistään,608,at the latest
15589,cassandra,608,Cassandra
15590,ikää,608,age
15591,motelliin,608,to the motel
15592,istuhan,608,sitting
15593,hissin,608,lift
15594,välittäjä,608,appellant
15595,luolan,608,cave
15596,julkaisi,608,published
15597,piilopaikka,608,hide-out
15598,kaatua,608,fall
15599,ihmisellä,608,in humans
15600,mustelmia,608,bruises
15601,matthews,608,Matthews
15602,pohjoinen,608,north
15603,ratkaiseva,608,pivotal
15604,harjoittelija,608,trainee
15605,bussia,608,bus
15606,teelle,608,to
15607,kuriin,608,on
15608,deanin,608,Dean
15609,maineesi,607,your reputation
15610,sammutan,607,I turn off
15611,ooh,607,ooh
15612,paniikissa,607,in a flat spin
15613,tapaukset,607,cases
15614,takanamme,607,behind us
15615,oksettaa,607,feel sick
15616,kehtaa,607,ride
15617,pahimmat,607,worst
15618,korvaamaton,607,irreplaceable
15619,vierailu,607,stay
15620,nuorista,607,young
15621,asiakkaille,607,For customers
15622,sierra,607,sizzle
15623,franciscon,607,Francisco
15624,olenkaan,607,Ince
15625,generaattori,607,generator
15626,vaatimuksia,607,Requirements
15627,varjossa,607,in the shade
15628,oiette,607,OIETTE
15629,suojata,607,protect
15630,peppu,607,bottom
15631,kuvattu,606,as described
15632,lampaita,606,sheep
15633,pelit,606,Games
15634,tikkaat,606,ladder
15635,rakkautemme,606,Our love
15636,mulkut,606,mud
15637,bmw,606,bmw
15638,toverit,606,comrades
15639,kaivos,606,mining
15640,ongelmissa,606,in trouble
15641,vuorten,606,mountains
15642,ostivat,606,bought
15643,suojatkaa,606,protect
15644,tummat,606,darks
15645,kuolemasi,606,your death
15646,huolehti,606,cared
15647,jody,606,jody
15648,täytät,606,you fill out
15649,ramon,606,ramon
15650,viattomien,606,innocent
15651,taidanpa,606,Into
15652,kaltaistasi,606,like
15653,puhkesi,606,burst
15654,unohtui,606,forgotten
15655,järvellä,605,on the lake
15656,sairauden,605,illness
15657,lavastettiin,605,staged
15658,herkulliselta,605,from a delicious
15659,perseeseesi,605,ass
15660,ferguson,605,Ferguson
15661,komentajan,605,commander
15662,peloton,605,fearless
15663,kiitokseksi,605,thanks
15664,harhautus,605,feint
15665,syöksyi,605,plunge
15666,nautti,605,enjoy
15667,kokousta,605,meeting
15668,alkoholin,605,alcohol
15669,sijoitus,605,investment
15670,lara,605,Lara
15671,valas,605,whale
15672,mrs.,604,Mrs.
15673,dunham,604,Dunham
15674,yhdisti,604,combined
15675,kävelimme,604,We walked
15676,kuis,604,whisper
15677,jakavat,604,share
15678,hampaani,604,tooth
15679,javier,604,javiier
15680,ryyppy,604,noggin
15681,lääkäriksi,604,as a doctor
15682,merkeissä,604,in
15683,oksennan,604,vomit
15684,derekin,604,derekin
15685,loukkaantuu,604,be injured
15686,liiketoimintaa,604,business
15687,komitean,603,committee
15688,kolmantena,603,third
15689,rakastuu,603,fall in love
15690,huolehtiko,603,caregiver
15691,veikkaisin,603,faby
15692,julkaistiin,603,published
15693,eristyksissä,603,in the isolation
15694,raamattua,603,bible
15695,varastettua,603,stolen
15696,tuhkaa,603,ash
15697,kotiinne,603,to your house
15698,gracen,603,Gracen
15699,10-vuotias,603,10 years old
15700,vega,602,vega
15701,oletpas,602,you are
15702,nouset,602,rise
15703,kumminkin,602,ones
15704,aloittaneet,602,initiated
15705,tekstaa,602,text
15706,shakkia,602,chess
15707,hirveitä,602,horrible
15708,yksinkin,602,solely
15709,urheilija,602,athlete
15710,syytätkö,602,do you claim
15711,paksua,602,thick
15712,raskaus,602,pregnancy
15713,nixon,602,nixon
15714,yllesi,602,for you
15715,alaa,602,sector
15716,vangittuna,602,dear
15717,rauhoittumaan,602,to calm down
15718,yksikköä,602,units
15719,ansaitsette,602,deserve
15720,xev,602,Xev
15721,heittivät,602,tossed
15722,asukkaiden,602,residents
15723,raiskattiin,602,raped
15724,sulkenut,602,closed
15725,keskustelumme,602,Our conversation
15726,siistejä,602,neat
15727,kaavan,602,formula
15728,ranger,602,ranger
15729,sittemmin,601,since
15730,varastat,601,steal
15731,deacon,601,deacon
15732,penelope,601,Penelope
15733,aseemme,601,our weapon
15734,näetkös,601,see
15735,hajaannutaan,601,disseminate
15736,tutkittiin,601,investigated
15737,harveyn,601,Harvey
15738,selitellä,601,explain
15739,väärälle,601,wrong
15740,jättimäinen,601,giant
15741,wheeler,601,wheeler
15742,paketissa,601,In the package
15743,hengestään,601,spirit
15744,lukuja,601,figures
15745,palmerin,601,Palmer
15746,uima-allas,601,swimming pool
15747,turvattu,601,secure
15748,pankkia,600,bank
15749,coop,600,COOP
15750,särki,600,roach
15751,palavat,600,burn
15752,vanhempiani,600,my parents
15753,pohjimmiltaan,600,basically
15754,jakoi,600,divide
15755,kyseinen,600,particular
15756,vinnie,600,vinnie
15757,viekö,600,panic
15758,mainoksen,600,ad
15759,piiritetty,600,embattled
15760,vakuuta,600,convince
15761,ehjä,600,unbroken
15762,päätynyt,600,concluded
15763,harjoituksissa,600,In the exercises
15764,holviin,600,to the vault
15765,milliä,600,milline
15766,äidilläni,600,my mother
15767,lillian,599,Lillian
15768,laitanko,599,dock
15769,lyödäänkö,599,do
15770,paksuksi,599,thick
15771,vääriin,599,wrong
15772,parkiin,599,on
15773,vatsani,599,stomach
15774,mielipidettä,599,opinion
15775,luvattiin,599,promised
15776,lopez,599,Lopez
15777,pelasit,599,gambled
15778,elokuussa,599,In August
15779,matkasi,599,your trip
15780,harley,599,harley
15781,seinästä,599,from the wall
15782,turvatoimet,599,security
15783,surmasi,599,rescued
15784,keneltäkään,599,anyone
15785,paskiaisia,598,bastard
15786,oksensi,598,twisted
15787,rikkaiden,598,rich
15788,pidettyä,598,heave
15789,your,598,your
15790,pimeään,598,to the dark
15791,äänimerkin,598,beep
15792,rajoittaa,598,restrict
15793,taksiin,598,to the taxi
15794,kätevä,598,handy
15795,henkien,598,spirits
15796,jutellaanko,598,chatter
15797,siskot,598,sisters
15798,kuulleeni,598,heard
15799,gaby,598,gaby
15800,piiloudu,598,hide
15801,hukuttaa,598,overwhelm
15802,kehitystä,598,development
15803,sataman,598,port
15804,vuoteeseen,598,to bed
15805,pääseväni,598,free
15806,vihaisena,598,in angry
15807,maddy,598,maddy
15808,ryömi,598,crawl
15809,pelkästä,598,afraid
15810,streetille,598,to a street
15811,alkaako,598,open
15812,piilota,598,hide
15813,viihdyttää,598,entertain
15814,hale,597,hale
15815,alikersantti,597,corporal
15816,käännyn,597,i turn
15817,luun,597,bone
15818,seurustele,597,to socialize
15819,näköistä,597,sight
15820,erityisiä,597,special
15821,state,597,state
15822,ainesta,597,material
15823,sky,597,Sky
15824,willis,597,Willis
15825,tarjoilla,597,serve
15826,moss,597,moss
15827,kuvioista,597,from the patterns
15828,skip,597,skip
15829,potilaiden,597,patients
15830,odottelen,597,waiting for
15831,sookie,597,sookie
15832,tiedosto,597,file
15833,pistäkää,597,poke
15834,syötte,597,eaten
15835,parkerin,597,parker
15836,ylläsi,597,y'all
15837,tunteeko,596,do you know
15838,nöyrä,596,humble
15839,nauhoittaa,596,record
15840,ristiin,596,across
15841,jäänteitä,596,remnants
15842,kerätään,596,be collected
15843,omistanut,596,owned
15844,piikkiin,596,spiked
15845,mainittu,596,mentioned
15846,aikalisä,596,time-out
15847,ylhäisyys,596,Excellency
15848,unelmoin,596,i dreamed
15849,katoamisen,596,disappearance
15850,harvinaisen,596,extraordinarily
15851,pesin,596,washer
15852,käytäntö,596,practice
15853,kanavalla,596,on a channel
15854,todellisuuteen,596,reality
15855,potku,596,kick
15856,hallitsija,596,ruler
15857,torres,596,torres
15858,kuninkaaksi,596,for king
15859,temput,595,antics
15860,omaisuuteni,595,my property
15861,kemikaaleja,595,chemicals
15862,entiset,595,past
15863,minuako,595,me
15864,oikeuteni,595,right
15865,väitellä,595,argue
15866,tarkastan,595,I will check
15867,meksikosta,595,from Mexico
15868,viisautta,595,wisdom
15869,opetetaan,595,teach
15870,kaadan,595,pour
15871,piirsi,595,drawn
15872,keskustellaan,595,be discussed
15873,rehellisyys,595,integrity
15874,vanhukset,595,elderly
15875,taustat,595,backgrounds
15876,r.,595,r.
15877,palvelen,595,served
15878,onnellisin,595,the happiest
15879,luokkaan,595,category
15880,viikonloppua,594,weekend
15881,daryl,594,daryl
15882,tärkeämpiä,594,more importantly
15883,juoksit,594,ran
15884,kärkeen,594,to the tip of
15885,valheen,594,lies
15886,rukoilemaan,594,pray
15887,torilla,594,at the market
15888,läheiset,594,close ones
15889,ensimmäiselle,594,for the first
15890,muttemme,594,but
15891,callie,594,callie
15892,historiaan,594,in history
15893,spartacus,594,Spartacus
15894,kivien,594,stones
15895,arvot,594,set of values
15896,vatsassa,594,in the stomach
15897,perällä,594,beyond
15898,museon,594,museum
15899,pohjasta,594,from the bottom
15900,varuillasi,594,with your warrants
15901,meinaatko,594,Did you
15902,niellä,594,swallow
15903,alueita,594,regions
15904,tapailin,593,wont
15905,pienikin,593,small
15906,haasteita,593,challenges
15907,kitara,593,guitar
15908,penska,593,brat
15909,elääkö,593,do you live
15910,tunteitaan,593,their feelings
15911,koirista,593,from dogs
15912,alaani,593,allay
15913,vahvistusta,593,confirmation
15914,nautimme,593,We enjoyed
15915,alastomana,593,naked
15916,varastavat,593,steal
15917,ystävillesi,593,to your friends
15918,palatsi,593,palace
15919,toimistoa,593,office
15920,nopean,593,quick
15921,junaa,593,train
15922,syyttävät,593,blame
15923,virkaa,593,post
15924,kärryillä,593,cart
15925,valvonta,592,control
15926,vihaiselta,592,from angry
15927,ethel,592,Ethel
15928,tulevaisuuteni,592,my future
15929,muutamaan,592,to a few
15930,hedelmä,592,fruit
15931,onnellisina,592,happy
15932,keskuudessamme,592,In our midst
15933,nat,592,nat
15934,pyöreä,592,round
15935,varmuudella,592,with certainty
15936,julkkis,592,celebrity
15937,enkelini,592,angel
15938,pärjäsin,592,i sustained
15939,vinkkejä,592,tips
15940,lukio,592,high school
15941,taisteltava,592,fighting
15942,liioittele,592,exaggerate
15943,ympyrä,592,circle
15944,uloskäynti,592,exit
15945,barfly83,592,Barfly83
15946,nostamme,592,We raise
15947,tapahtuvat,591,take place
15948,idiootin,591,idiot
15949,jättäkö,591,leave
15950,vaihtorahat,591,exchange money
15951,astronautti,591,astronaut
15952,ampuisi,591,shoot
15953,aaveet,591,ghosts
15954,luultiin,591,thought
15955,neuvoi,591,advised
15956,puhunko,591,talking
15957,omaisuutensa,591,property
15958,isommat,591,larger
15959,puhummeko,591,do we talk
15960,savuke,591,cigarette
15961,natasha,591,natasha
15962,toimiin,591,for
15963,herkullisia,591,delicious
15964,vaihtakaa,591,change
15965,kranaatti,590,grenade
15966,kaivamaan,590,dig
15967,alusvaatteita,590,underwear
15968,ruuhkaa,590,congestion
15969,teillekin,590,For you too
15970,veikö,590,Did
15971,tiskin,590,counter
15972,tehden,590,making
15973,suoran,590,straight
15974,osuutensa,590,part
15975,ottaako,590,whether or not
15976,dani,590,dani
15977,takakontissa,590,in the back of the back
15978,ehdottoman,590,absolutely
15979,historiallinen,590,historic
15980,pakettiauto,590,van
15981,suunnittelen,590,I'm planning
15982,inhottaa,590,disgust
15983,voidakseen,590,in order to
15984,napoleon,590,napoleon
15985,juzkaaz,590,juzkaaz
15986,johonkuhun,590,for that one
15987,teorioita,589,theories
15988,pysäköidä,589,park
15989,time,589,time
15990,tyydyttää,589,satisfy
15991,jäljen,589,trace
15992,arvaakaan,589,guess
15993,hautausmaa,589,cemetery
15994,alueilla,589,in areas
15995,pissaa,589,pee
15996,kisassa,589,in the race
15997,kirjeessä,589,in a letter
15998,ilmeistä,589,obvious
15999,tuhosin,589,devastate
16000,kysymme,589,We ask
16001,hulluus,589,madness
16002,turhautunut,589,frustrated
16003,maineensa,589,his reputation
16004,olive,589,olive
16005,juuseri,589,juvenile
16006,sateessa,589,in the rain
16007,kiitosta,589,praise
16008,syyttä,588,wrongly
16009,jakson,588,section
16010,masentaa,588,depress
16011,huijasin,588,cheated
16012,bubbles,588,Bubbles
16013,satutit,588,saturates
16014,kiho,588,big noise
16015,niele,588,swallow
16016,opiskelijoita,588,students
16017,käsitän,588,I will handle
16018,arvioi,588,estimate
16019,liittykää,588,join
16020,sängyssäni,588,in my bed
16021,koolla,588,assembled
16022,täh,588,what
16023,pidätysmääräys,588,warrant of arrest
16024,mestaruuden,588,championship
16025,greta,588,gret
16026,hevosten,588,horses
16027,potaskaa,587,potash
16028,manipuloida,587,manipulate
16029,tietyllä,587,on a particular
16030,elätte,587,live
16031,samanaikaisesti,587,simultaneously
16032,karkasin,587,i got up
16033,mieliksi,587,moods
16034,suojelija,587,protector
16035,järkesi,587,reason
16036,koripalloa,587,basketball
16037,suutuin,587,beat
16038,suuntaamme,587,We are directed
16039,menestyksen,587,success
16040,turvapaikan,587,asylum
16041,vastustamaan,587,resist
16042,viivyit,587,delay
16043,itkevän,587,weeping
16044,käynnistän,587,launch
16045,tehneensä,587,to
16046,ajattelisi,587,would
16047,muutut,587,change
16048,päinsä,587,on
16049,vaihtuu,587,change
16050,riskeerata,587,risk
16051,kiertueelle,587,to the tour
16052,valloilleen,587,loose
16053,taiteilijan,587,artist
16054,lupaava,587,promising
16055,pisin,586,longest
16056,valkoisesta,586,white
16057,matoja,586,worms
16058,maisemissa,586,In the scenery
16059,pulaa,586,shortage
16060,esimerkin,586,example
16061,psykologi,586,psychologist
16062,kirsten,586,kirsten
16063,asianajajat,586,counsel
16064,tappelua,586,spill
16065,seuranneet,586,followed
16066,kampanjan,586,campaign
16067,ajattelitte,586,you thought
16068,hirviötä,586,monster
16069,köyhät,586,the poor
16070,suihkun,586,shower
16071,kadottaa,586,lose
16072,lehmät,586,cows
16073,sekoan,586,son
16074,sivistynyt,586,civilized
16075,apuna,586,assist
16076,pyörää,586,wheel
16077,kynsien,585,nail
16078,yksinäni,585,my own
16079,piilotin,585,hidden
16080,pettäisi,585,would deceive
16081,crowley,585,crowley
16082,uskaltaisi,585,would
16083,island,585,island
16084,kirjoitatko,585,do you write about
16085,muodon,585,shape
16086,hermostua,585,get nervous
16087,rauhasta,585,peace
16088,huonekalut,585,furniture
16089,ujostele,585,shiver
16090,vaivannut,585,troubled
16091,tuotte,585,products
16092,carly,585,carly
16093,valehtelevan,585,lying
16094,painakaa,585,press
16095,huomasivat,585,discovered
16096,älykkäitä,585,intelligent
16097,hautasi,585,bury
16098,limsaa,585,lime
16099,texasissa,585,In Texas
16100,uros,585,male
16101,multa,584,mold
16102,kapinallisten,584,rebels
16103,kiitospäivä,584,Thanksgiving
16104,manhattanilla,584,Manhattan
16105,rosemary,584,Rosemary
16106,pissata,584,wee
16107,pelaajia,584,players
16108,rommia,584,rum
16109,pukeudun,584,dressed
16110,velkani,584,debt
16111,viskin,584,whiskey
16112,pelkäämme,584,we're afraid of
16113,juomisen,584,drinking
16114,komitea,584,committee
16115,tavaroista,584,of goods
16116,jerseyn,584,Jerseyn
16117,todettu,584,found
16118,selkäänsä,583,on one's back
16119,lsd,583,acid
16120,scotland,583,Scotland
16121,ylimääräisen,583,extraordinary
16122,saasta,583,save
16123,laputtaa,583,shovel
16124,rikospaikan,583,crime
16125,kontakti,583,contact
16126,auringosta,583,from the sun
16127,johdot,583,wires
16128,ansaitsit,583,you earned
16129,alushousut,583,underpants
16130,huoraa,583,whore
16131,pitäminen,583,keeping
16132,raskaan,583,heavy
16133,jalanjälkiä,583,footprint
16134,hahmon,583,character
16135,teksasin,583,Texas
16136,haise,583,smell
16137,palvelee,583,serve
16138,satanen,583,satanen
16139,dolly,583,dolly
16140,muistamme,583,We remember
16141,valehtelette,583,lioning
16142,peiton,583,blanket
16143,loivat,583,smell
16144,kuumuus,582,heat
16145,syöminen,582,eating
16146,moderni,582,modern
16147,nousu,582,rise
16148,tulisitte,582,you would come
16149,selvät,582,clear
16150,liikeasioita,582,business
16151,hanttiin,582,to the hand
16152,muotoinen,582,shaped
16153,tulevatko,582,do
16154,kadonnutta,582,missing
16155,korjattua,582,corrected
16156,siru,582,chip
16157,mekkoa,582,dress
16158,pitämässä,582,on
16159,seota,582,go bananas
16160,yo,582,night
16161,paloja,582,pieces
16162,uhraus,582,sacrifice
16163,aseeseen,582,to the weapon
16164,leroy,582,Leroy
16165,karkuri,582,deserter
16166,yhtenään,582,continuously
16167,ravintolaa,582,restaurant
16168,uunissa,582,in the oven
16169,pelastaaksesi,582,to save
16170,perhonen,582,butterfly
16171,keskustan,582,downtown
16172,kuulumisia,581,belong to
16173,kylpyhuoneeseen,581,to the bathroom
16174,nro,581,No
16175,karma,581,karma
16176,tiimiä,581,team
16177,edistää,581,promote
16178,varoittamaan,581,to warn
16179,muuttuisi,581,would change
16180,vihaiseksi,581,for angry
16181,v.,581,v.
16182,kyselin,581,query
16183,italiaan,581,In Italy
16184,pysyisi,581,would remain
16185,veresi,581,blood
16186,muokata,581,edit
16187,marta,581,marta
